[Tue Jun 22 09:46:22.912417 2021] [core:error] [pid 26:tid 140093926917888] [client 192.168.192.1:56360] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:22.912877 2021] [core:error] [pid 26:tid 140093847238400] [client 192.168.192.1:56322] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:22.936336 2021] [core:error] [pid 26:tid 140093830452992] [client 192.168.192.1:56360] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:22.936582 2021] [core:error] [pid 26:tid 140093838845696] [client 192.168.192.1:56322] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:22.950555 2021] [core:error] [pid 26:tid 140093796882176] [client 192.168.192.1:56364] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:22.955162 2021] [core:error] [pid 26:tid 140093813667584] [client 192.168.192.1:56376] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:22.957384 2021] [core:error] [pid 25:tid 140093285189376] [client 192.168.192.1:56378] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:22.959648 2021] [core:error] [pid 26:tid 140093805274880] [client 192.168.192.1:56360] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:24.542147 2021] [core:error] [pid 26:tid 140093822060288] [client 192.168.192.1:56360] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:24.543089 2021] [core:error] [pid 26:tid 140093301974784] [client 192.168.192.1:56322] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:24.561503 2021] [core:error] [pid 26:tid 140093276796672] [client 192.168.192.1:56322] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:24.574823 2021] [core:error] [pid 26:tid 140093260011264] [client 192.168.192.1:56322] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:24.707109 2021] [core:error] [pid 26:tid 140092765103872] [client 192.168.192.1:56322] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:24.722185 2021] [core:error] [pid 26:tid 140092756711168] [client 192.168.192.1:56360] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:24.722485 2021] [core:error] [pid 26:tid 140092739925760] [client 192.168.192.1:56376] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:24.730277 2021] [core:error] [pid 25:tid 140093276796672] [client 192.168.192.1:56378] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:24.739504 2021] [core:error] [pid 26:tid 140092765103872] [client 192.168.192.1:56322] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:24.740583 2021] [core:error] [pid 26:tid 140092773496576] [client 192.168.192.1:56364] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:24.757524 2021] [core:error] [pid 26:tid 140093293582080] [client 192.168.192.1:56322] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:24.758526 2021] [core:error] [pid 26:tid 140092731533056] [client 192.168.192.1:56360] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
